DOSTAWCY,LOKALIZACJA,ODBIÓR,SPOSÓB,MAILE / STRONY,DODATKOWE,ZAPAS,INTERWAL,STATYSTYKI
Ugin,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,johanna.millescamps@ugin-dentaire.fr,christelle.aronica@ugin-dentaire.fr · DW Stefano.BIONDI@ugin-dentaire.fr,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Up3D,IMPORT,BRAK,MAILOWO,cathy@up3dtech.com,Cathy Lee,PÓŁ ROKU,3 MIESIĄCE,ŁĄCZNIE
VANECO,POLSKA,BRAK,MAILOWO,info@vaneco.pl,,4 MIESIĄCE,3 MIESIĄCE,ŁĄCZNIE
Verdent (frezy mikran.pl),POLSKA,BRAK,MAILOWO,mariusz.wagner@verdent.pl,,PÓŁ ROKU,2 MIESIĄCE,ŁĄCZNIE
VIPERA,POLSKA,BRAK,MAILOWO,zamówienia@vipera.com.pl,,anna.gadulska@vipera.com.pl,ZLECA SZYMON,ŁĄCZNIE
VOCO,ZAGRANICA,BRAK,MAILOWO,d.miskiewicz@voco.com,Stefan Goedecke - s.goedecke@voco.de,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
W&H,POLSKA,BRAK,MAILOWO,WEBER & WEBER (serwety stom.),POLSKA · BRAK · PRZEZ INTERNET · https://shop.webermed.com.pl · wioletta.warzocha@webermed.com,2 MIESIĄCE,5,ŁĄCZNIE
Widlarz (Premium Business Services),POLSKA,BRAK,MAILOWO,patryk.widlarz@proddent.pl,Patryk Widlarz · tel: · 501 684 571,2 MIESIĄCE,5,ŁĄCZNIE
Wiedent,POLSKA,BRAK,MAILOWO,office@wiedent.com.pl,poprosić o potwierdzenie przyjęcia zamówienia! · Przerobić plik pdf przez strone wiedentu!,1 MIESIĄC,2,ŁĄCZNIE
"ZEALIKE TECH CO., LIMITED",IMPORT,BRAK,MAILOWO,eric@yutedent.com,,ROK,PÓŁ ROKU,ŁĄCZNIE
ZIRKONZAHN POLSKA,POLSKA,BRAK,MAILOWO,sebastian.religa@zirkonzahn.com.pl,,,,ŁĄCZNIE
Żuchowski Dental,POLSKA,BRAK,TELEFONICZNIE,91 469 01 63,info@zuchowskidental.pl,3 MIESIĄCE,10,ŁĄCZNIE
